1 input_north_south_trajectories.asc  Apr  4 2025 17:29:30
  0  0 59
time            event_time      FSPV1           FSPV2           FSPV3           
pdynmc          mach            lonx            latx            alt             
dvbe            psivgx          thtvgx          SBEG1           SBEG2           
SBEG3           VBEG1           VBEG2           VBEG3           mprop           
phi             mass            cin             spi             thrust          
fmassr          thrst_req       cl              cd              cl_ov_cd        
cla             cn              ca              psivgcx         thtvgcx         
anx             avx             alphax          phimvx          phicx           
phix            qq              tip             ancomx          alcomx          
alx             altd            altcom          wp_sltrange     wp_grdrange     
rad_min         range_go        STBG1           STBG2           STBG3           
time_go         psisbx          thtsbx          mtargeting      
0               0               -0.97949        0               -11.893         
74604.2         6.04833         -120.599        34.7            24000           
1781.98         90.0008         0.00290437      -0.000634619    89.0994         
-0.00225824     -0.0253848      1781.98         -0.0903296      2               
0.5             1975.99         0.919623        1212.91         5696.17         
623.988         7346.82         0.0269263       0.0087442       3.07933         
0.0100529       0.0269263       0.0087442       0               0               
1.22027         0               -0.0128059      -0.294699       -11.7879        
-0.294699       -0.00894019     6.926           0.997219        0               
0               0.0903296       24000           999999          861068          
118586          0               0               0               0               
0               0               0               0               
5               5               -0.818969       -2.47267        -9.30128        
74189.9         6.03439         -120.502        34.7001         24006.1         
1777.85         89.7712         0.0361389       13.4475         8988.47         
-6.10779        7.10101         1777.84         -1.12137        2               
0.5             1973.67         0.893531        1221.3          5554.7          
621.67          7108.7          0.0219441       0.00826212      2.65598         
0.0100103       0.0218682       0.00846079      0               0               
0.986698        0               -0.520897       -14.8745        -14.6423        
-14.8745        -0.00178368     6.97113         0.960053        0               
0               1.12137         24000           999999          852740          
118038          0               0               0               0               
0               0               0               0               
10              10              -0.784572       -2.43807        -8.88728        
73795.6         6.02085         -120.405        34.7007         24011.4         
1773.86         89.463          0.0203485       72.7439         17867.5         
-11.3782        16.6258         1773.79         -0.629984       2               
0.5             1971.37         0.888451        1225.07         5523.14         
619.367         7068.47         0.021112        0.00818888      2.57813         
0.0100121       0.0210238       0.00841291      0               0               
0.944658        0               -0.608775       -15.3366        -15.2588        
-15.3366        -0.00135803     6.98325         0.944185        0               
0               0.629984        24000           999999          844421          
117510          0               0               0               0               
0               0               0               0               
15              15              -0.775613       -2.42452        -8.94522        
73451           6.00759         -120.309        34.7016         24013.1         
1769.96         89.1519         0.00227674      179.832         26726.3         
-13.0594        26.1969         1769.76         -0.0703319      2               
0.5             1969.07         0.888554        1227.65         5521.71         
617.071         7077.03         0.0213045       0.00820303      2.59715         
0.0100249       0.0212185       0.0084231       0               0               
0.950063        0               -0.592713       -15.1628        -15.1187        
-15.1628        -0.00137062     6.98326         0.950529        0               
0               0.0703319       24000           999999          836112          
116993          0               0               0               0               
0               0               0               0               
20              20              -0.768245       -2.41332        -9.01687        
73133.5         5.99448         -120.212        34.703          24012.8         
1766.1          88.8412         -0.00340275     334.646         35565.1         
-12.8354        35.717          1765.73         0.104887        2               
0.5             1966.78         0.888583        1230.1          5521.03         
614.78          7086.84         0.0215226       0.00821886      2.61869         
0.010068        0.0214389       0.00843477      0               0               
0.956897        0               -0.575841       -14.9825        -14.9585        
-14.9825        -0.00141874     6.9602          0.956735        0               
0               -0.104887       24000           999999          827810          
116483          0               0               0               0               
0               0               0               0               
25              25              -0.759207       -2.40362        -9.03814        
72823.3         5.98153         -120.116        34.7048         24012.3         
1762.28         88.5312         -0.00253829     536.894         44383.7         
-12.3393        45.1722         1761.7          0.0780716       2               
0.5             1964.49         0.887782        1232.56         5515.56         
612.495         7091.44         0.0216304       0.00822454      2.62999         
0.0101509       0.0215472       0.00844025      0               0               
0.958763        0               -0.572491       -14.892         -14.8804        
-14.892         -0.00144666     6.91014         0.958638        0               
0               -0.0780716      24000           999999          819517          
115980          0               0               0               0               
0               0               0               0               
30              30              -0.749148       -2.39543        -9.03666        
72514.8         5.96872         -120.02         34.707          24012.1         
1758.51         88.2217         -0.00082241     786.274         53182.1         
-12.0901        54.5709         1757.66         0.0252412       2               
0.5             1962.22         0.886751        1235.04         5508.65         
610.217         7093.72         0.0216893       0.00822608      2.63665         
0.010232        0.0216058       0.00844296      0               0               
0.958409        0               -0.574031       -14.8461        -14.8389        
-14.8461        -0.00146735     6.86221         0.958338        0               
0               -0.0252412      24000           999999          811232          
115484          0               0               0               0               
0               0               0               0               
35              35              -0.739147       -2.3882         -9.03307        
72208.8         5.95609         -119.925        34.7097         24012           
1754.79         87.9125         -9.44972e-05    1082.52         61960.3         
-12.0328        63.9199         1753.62         0.00289415      2               
0.5             1959.95         0.885717        1237.49         5501.55         
607.947         7095.8          0.0217438       0.00822731      2.64289         
0.0103118       0.0216601       0.00844543      0               0               
0.957871        0               -0.575883       -14.8089        -14.8015        
-14.8089        -0.00147952     6.81593         0.957827        0               
0               -0.00289415     24000           999999          802955          
114996          0               0               0               0               
0               0               0               0               
40              40              -0.210464       -2.38249        -9.03084        
72010.3         5.94789         -119.829        34.7128         24012           
