1 input_north_south_trajectories.asc ' RR3X_h2 ' Apr  4 2025 17:29:31
  0  0 59
time            event_time      FSPV1           FSPV2           FSPV3           
pdynmc          mach            lonx            latx            alt             
dvbe            psivgx          thtvgx          SBEG1           SBEG2           
SBEG3           VBEG1           VBEG2           VBEG3           mprop           
phi             mass            cin             spi             thrust          
fmassr          thrst_req       cl              cd              cl_ov_cd        
cla             cn              ca              psivgcx         thtvgcx         
anx             avx             alphax          phimvx          phicx           
phix            qq              tip             ancomx          alcomx          
alx             altd            altcom          wp_sltrange     wp_grdrange     
rad_min         range_go        STBG1           STBG2           STBG3           
time_go         psisbx          thtsbx          mtargeting      
0               0               -0.97949        0               -11.893         
74604.2         6.04833         -120.599        34.7            24000           
1781.98         90.0008         0.00290437      -0.000634619    89.0994         
-0.00225824     -0.0253848      1781.98         -0.0903296      2               
0.5             1975.99         0.919623        1212.91         5696.17         
623.988         7346.82         0.0269263       0.0087442       3.07933         
0.0100529       0.0269263       0.0087442       0               0               
1.22027         0               -0.0128065      0.134741        5.38963         
0.134741        -0.00894061     6.926           0.997208        0               
0               0.0903296       24000           999999          796891          
118586          0               0               0               0               
0               0               0               0               
5               5               -0.80414        1.13739         -9.28194        
74193           6.03456         -120.502        34.6999         24006.2         
1777.9          90.2242         0.0337486       -15.5187        8988.54         
-6.18544        -6.95589        1777.89         -1.04723        2               
0.5             1973.68         0.890442        1221.94         5538.5          
621.676         7079.44         0.0213294       0.00820934      2.59819         
0.0100035       0.0212447       0.00842597      0               0               
0.958604        0               -0.583442       6.97879         6.84423         
6.97879         -0.00162626     6.97598         0.936625        0               
0               1.04723         24000           999999          788147          
118045          0               0               0               0               
0               0               0               0               
10              10              -0.770961       1.1119          -8.876          
73805.1         6.02122         -120.405        34.6994         24011.4         
1773.97         90.4839         0.0202926       -70.3956        17868           
-11.3533        -14.9825        1773.91         -0.628293       2               
0.5             1971.38         0.88539         1225.68         5507.19         
619.379         7039.32         0.0204992       0.00813822      2.51888         
0.0100051       0.0204023       0.00837822      0               0               
0.916845        0               -0.671779       7.13837         7.10149         
7.13837         -0.00147432     6.98789         0.91788         0               
0               0.628293        24000           999999          779418          
117524          0               0               0               0               
0               0               0               0               
15              15              -0.762707       1.10113         -8.9429         
73465.8         6.00818         -120.309        34.6985         24013           
1770.13         90.7439         0.00254686      -165.343        26727.7         
-13.041         -22.9821        1769.98         -0.0786842      2               
0.5             1969.09         0.885639        1228.19         5506.56         
617.091         7049.1          0.020717        0.00815413      2.54067         
0.010018        0.0206227       0.00838986      0               0               
0.923561        0               -0.653097       7.01814         6.99342         
7.01814         -0.00152299     6.98757         0.924218        0               
0               0.0786842       24000           999999          770705          
117016          0               0               0               0               
0               0               0               0               
20              20              -0.755575       1.09124         -9.01638        
73153.3         5.9953          -120.212        34.6973         24012.8         
1766.34         91.0027         -0.00325562     -300.109        35567.8         
-12.8438        -30.9114        1766.07         0.100365        2               
0.5             1966.81         0.885764        1230.59         5506.47         
614.807         7059.35         0.0209442       0.00817045      2.56341         
0.0100557       0.0208524       0.00840205      0               0               
0.930958        0               -0.634903       6.89991         6.88226         
6.89991         -0.00156506     6.96801         0.93076         0               
0               -0.100365       24000           999999          762006          
116515          0               0               0               0               
0               0               0               0               
25              25              -0.746737       1.08164         -9.03744        
72848.4         5.98257         -120.116        34.6958         24012.4         
1762.59         91.2602         -0.00249793     -474.329        44388.4         
-12.362         -38.7646        1762.16         0.0768435       2               
0.5             1964.53         0.884996        1233.01         5501.21         
612.529         7063.98         0.0210527       0.00817609      2.57491         
0.0101347       0.0209613       0.00840756      0               0               
0.933001        0               -0.631326       6.82432         6.81248         
6.82432         -0.0015921      6.92024         0.93287         0               
0               -0.0768435      24000           999999          753323          
116020          0               0               0               0               
0               0               0               0               
30              30              -0.7369         1.07272         -9.03622        
72545.2         5.96999         -120.02         34.6938         24012.1         
1758.88         91.5164         -0.000829476    -687.635        53189.4         
-12.1148        -46.5462        1758.26         0.0254635       2               
0.5             1962.26         0.883992        1235.45         5494.5          
610.258         7066.23         0.0211112       0.00817761      2.58158         
0.0102119       0.0210196       0.00841024      0               0               
0.932777        0               -0.632753       6.76957         6.75993         
6.76957         -0.00161359     6.87447         0.932704        0               
0               -0.0254635      24000           999999          744653          
115533          0               0               0               0               
0               0               0               0               
35              35              -0.727099       1.06424         -9.03273        
72244.5         5.95757         -119.924        34.6916         24012.1         
1755.22         91.7715         -0.000104269    -939.677        61971           
-12.0558        -54.2595        1754.38         0.00319422      2               
0.5             1959.99         0.882981        1237.87         5487.57         
607.994         7068.24         0.0211644       0.00817874      2.58774         
0.010288        0.0210726       0.00841264      0               0               
0.932328        0               -0.634587       6.71911         6.70939         
6.71911         -0.00162643     6.83027         0.932283        0               
0               -0.00319422     24000           999999          735999          
115053          0               0               0               0               
0               0               0               0               
40              40              -0.236032       1.05609         -9.03006        
72026.7         5.94858         -119.829        34.689          24012           
1752.6          92.0254         -0.000275282    -1230.16        70734.5         
